type,title,director,country,date_added,release_year,rating,duration,listed_in,year_added,month_added,day_added,duration_int
Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,Japan,2021-09-15,2004,TV-PG,88 min,"Action & Adventure, Anime Features, International Movies",2021,9,15,88
Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,Japan,2021-09-15,2001,TV-PG,100 min,"Action & Adventure, Anime Features, International Movies",2021,9,15,100
Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,Japan,2021-09-15,2011,TV-14,102 min,"Action & Adventure, Anime Features, International Movies",2021,9,15,102
Movie,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,Japan,2021-09-15,2008,TV-PG,93 min,"Action & Adventure, Anime Features, International Movies",2021,9,15,93
Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,Japan,2021-09-15,2009,TV-PG,96 min,"Action & Adventure, Anime Features, International Movies",2021,9,15,96
Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,Japan,2021-09-15,2007,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies",2021,9,15,95
Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,Japan,2021-09-15,2010,TV-14,85 min,"Action & Adventure, Anime Features, International Movies",2021,9,15,85
Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,Japan,2021-09-15,2005,TV-PG,97 min,"Action & Adventure, Anime Features, International Movies",2021,9,15,97
Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,Japan,2021-09-15,2006,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies",2021,9,15,95
Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,Japan,2021-09-15,2004,TV-PG,83 min,"Action & Adventure, Anime Features, International Movies",2021,9,15,83
Movie,King of Boys,Kemi Adetiba,Nigeria,2021-09-14,2018,TV-MA,182 min,"Dramas, International Movies",2021,9,14,182
Movie,Kate,Cedric Nicolas-Troyan,United States,2021-09-10,2021,R,106 min,Action & Adventure,2021,9,10,106
Movie,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele",Nigeria,2021-09-10,2020,TV-MA,147 min,"Action & Adventure, Comedies, Dramas",2021,9,10,147
Movie,Prey,Thomas Sieben,Germany,2021-09-10,2021,TV-MA,87 min,"International Movies, Thrillers",2021,9,10,87
Movie,Paradise Hills,Alice Waddington,Spain,2021-09-09,2019,TV-MA,95 min,"Sci-Fi & Fantasy, Thrillers",2021,9,9,95
Movie,The Women and the Murderer,"Mona Achache, Patricia Tourancheau",France,2021-09-09,2021,TV-14,92 min,"Documentaries, International Movies",2021,9,9,92
Movie,Show Dogs,Raja Gosnell,United Kingdom,2021-09-08,2018,PG,90 min,"Children & Family Movies, Comedies",2021,9,8,90
Movie,Why Did You Kill Me?,Fredrick Munk,United States,2021-04-14,2021,TV-MA,84 min,Documentaries,2021,4,14,84
Movie,Worth,Sara Colangelo,United States,2021-09-03,2021,PG-13,119 min,Dramas,2021,9,3,119
Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,United States,2021-09-07,2018,TV-MA,97 min,"Documentaries, Music & Musicals",2021,9,7,97
Movie,Afterlife of the Party,Stephen Herek,United States,2021-09-02,2021,TV-PG,110 min,"Comedies, Romantic Movies",2021,9,2,110
Movie,Untold: Breaking Point,"Chapman Way, Maclain Way",United States,2021-09-07,2021,TV-MA,80 min,"Documentaries, Sports Movies",2021,9,7,80
Movie,Angamaly Diaries,Lijo Jose Pellissery,India,2021-09-05,2017,TV-14,128 min,"Action & Adventure, Comedies, Dramas",2021,9,5,128
Movie,A Champion Heart,David de Vos,United States,2021-09-04,2018,G,90 min,"Children & Family Movies, Dramas",2021,9,4,90
Movie,Anjaam,Rahul Rawail,India,2021-09-02,1994,TV-14,143 min,"Dramas, International Movies, Thrillers",2021,9,2,143
Movie,Bright Star,Jane Campion,United Kingdom,2021-09-02,2009,PG,119 min,"Dramas, Romantic Movies",2021,9,2,119
Movie,Dhanak,Nagesh Kukunoor,India,2021-09-02,2015,TV-PG,114 min,"Comedies, Dramas, Independent Movies",2021,9,2,114
Movie,Final Account,Luke Holland,United Kingdom,2021-09-02,2021,PG-13,94 min,Documentaries,2021,9,2,94
Movie,Gurgaon,Shanker Raman,India,2021-09-02,2017,TV-14,106 min,"Dramas, International Movies, Thrillers",2021,9,2,106
Movie,Here and There,JP Habac,Philippines,2021-09-02,2020,TV-MA,99 min,"Dramas, International Movies, Romantic Movies",2021,9,2,99
Movie,Agatha Christie's Crooked House,Gilles Paquet-Brenner,France,2021-09-01,2017,PG-13,115 min,"Dramas, International Movies, Thrillers",2021,9,1,115
Movie,In the Cut,Jane Campion,United Kingdom,2021-09-02,2003,R,118 min,Thrillers,2021,9,2,118
Movie,Shikara,Vidhu Vinod Chopra,India,2021-09-02,2020,TV-14,115 min,"Dramas, International Movies, Romantic Movies",2021,9,2,115
Movie,A Cinderella Story,Mark Rosman,United States,2021-09-01,2004,PG,95 min,"Children & Family Movies, Comedies",2021,9,1,95
Movie,An Unfinished Life,Lasse Hallström,Germany,2021-09-01,2005,PG-13,108 min,Dramas,2021,9,1,108
Movie,Blade Runner: The Final Cut,Ridley Scott,United States,2021-09-01,1982,R,117 min,"Action & Adventure, Classic Movies, Cult Movies",2021,9,1,117
Movie,Chappie,Neill Blomkamp,South Africa,2021-09-01,2015,R,121 min,"Action & Adventure, Sci-Fi & Fantasy",2021,9,1,121
Movie,Janoskians: Untold and Untrue,Brett Weiner,United States,2021-09-01,2016,TV-MA,88 min,Comedies,2021,9,1,88
Movie,Clear and Present Danger,Phillip Noyce,United States,2021-09-01,1994,PG-13,142 min,"Action & Adventure, Dramas",2021,9,1,142
Movie,Cliffhanger,Renny Harlin,United States,2021-09-01,1993,R,113 min,Action & Adventure,2021,9,1,113
Movie,Cold Mountain,Anthony Minghella,United States,2021-09-01,2003,R,154 min,"Dramas, Romantic Movies",2021,9,1,154
Movie,Crocodile Dundee in Los Angeles,Simon Wincer,Australia,2021-09-01,2001,PG,95 min,"Action & Adventure, Comedies",2021,9,1,95
Movie,Dear John,Lasse Hallström,United States,2021-09-01,2010,PG-13,108 min,"Dramas, Romantic Movies",2021,9,1,108
Movie,Do the Right Thing,Spike Lee,United States,2021-09-01,1989,R,120 min,"Classic Movies, Comedies, Dramas",2021,9,1,120
Movie,"El patrón, radiografía de un crimen",Sebastián Schindel,Argentina,2021-09-01,2014,TV-MA,100 min,"Dramas, International Movies, Thrillers",2021,9,1,100
Movie,Extraction,Steven C. Miller,United States,2021-09-01,2015,R,82 min,Action & Adventure,2021,9,1,82
Movie,Freedom Writers,Richard LaGravenese,Germany,2021-09-01,2007,PG-13,124 min,Dramas,2021,9,1,124
Movie,Green Lantern,Martin Campbell,United States,2021-09-01,2011,PG-13,114 min,"Action & Adventure, Sci-Fi & Fantasy",2021,9,1,114
Movie,House Party,Reginald Hudlin,United States,2021-09-01,1990,R,104 min,"Comedies, Cult Movies",2021,9,1,104
Movie,House Party 2,"George Jackson, Doug McHenry",United States,2021-09-01,1991,R,94 min,"Comedies, Cult Movies, Music & Musicals",2021,9,1,94
Movie,House Party 3,Eric Meza,United States,2021-09-01,1994,R,94 min,"Comedies, Music & Musicals",2021,9,1,94
Movie,I Got the Hook Up,Michael Martin,United States,2021-09-01,1998,R,93 min,"Action & Adventure, Comedies",2021,9,1,93
Movie,In Too Deep,Michael Rymer,United States,2021-09-01,1999,R,97 min,Thrillers,2021,9,1,97
Movie,Initial D,"Andrew Lau Wai-keung, Alan Mak",China,2021-09-01,2005,TV-14,109 min,"Action & Adventure, International Movies",2021,9,1,109
Movie,Labyrinth,Jim Henson,United Kingdom,2021-09-01,1986,PG,101 min,"Action & Adventure, Children & Family Movies, Cult Movies",2021,9,1,101
Movie,Letters to Juliet,Gary Winick,United States,2021-09-01,2010,PG,105 min,"Comedies, Dramas, Romantic Movies",2021,9,1,105
Movie,Level 16,Danishka Esterhazy,Canada,2021-09-01,2018,TV-14,102 min,"Sci-Fi & Fantasy, Thrillers",2021,9,1,102
Movie,Love Don't Cost a Thing,Troy Byer,United States,2021-09-01,2003,PG-13,101 min,"Comedies, Romantic Movies",2021,9,1,101
Movie,Love in a Puff,Pang Ho-cheung,Hong Kong,2021-09-01,2010,TV-MA,103 min,"Comedies, Dramas, International Movies",2021,9,1,103
Movie,Mars Attacks!,Tim Burton,United States,2021-09-01,1996,PG-13,106 min,"Comedies, Cult Movies, Sci-Fi & Fantasy",2021,9,1,106
Movie,Marshall,Reginald Hudlin,United States,2021-09-01,2017,PG-13,118 min,Dramas,2021,9,1,118
Movie,My Boss's Daughter,David Zucker,United States,2021-09-01,2003,R,86 min,"Comedies, Romantic Movies",2021,9,1,86
Movie,Mystery Men,Kinka Usher,United States,2021-09-01,1999,PG-13,121 min,"Action & Adventure, Comedies",2021,9,1,121
Movie,Once Upon a Time in America,Sergio Leone,Italy,2021-09-01,1984,R,229 min,"Classic Movies, Dramas",2021,9,1,229
Movie,Open Season 2,"Matthew O'Callaghan, Todd Wilderman",United States,2021-09-01,2008,PG,76 min,"Children & Family Movies, Comedies",2021,9,1,76
Movie,Osmosis Jones,"Bobby Farrelly, Peter Farrelly",United States,2021-09-01,2001,PG,95 min,"Action & Adventure, Children & Family Movies, Comedies",2021,9,1,95
Movie,Poseidon,Wolfgang Petersen,United States,2021-09-01,2006,PG-13,98 min,"Action & Adventure, Dramas",2021,9,1,98
Movie,Rhyme & Reason,Peter Spirer,United States,2021-09-01,1997,R,89 min,"Documentaries, Music & Musicals",2021,9,1,89
Movie,Same Kind of Different as Me,Michael Carney,United States,2021-09-01,2017,PG-13,120 min,"Dramas, Faith & Spirituality",2021,9,1,120
Movie,School of Rock,Richard Linklater,United States,2021-09-01,2003,PG-13,110 min,"Comedies, Music & Musicals",2021,9,1,110
Movie,Snervous Tyler Oakley,Amy Rice,United States,2021-09-01,2015,PG-13,83 min,"Documentaries, LGBTQ Movies",2021,9,1,83
Movie,Tears of the Sun,Antoine Fuqua,United States,2021-09-01,2003,R,121 min,"Action & Adventure, Dramas",2021,9,1,121
Movie,The Blue Lagoon,Randal Kleiser,United States,2021-09-01,1980,R,105 min,"Dramas, Romantic Movies",2021,9,1,105
Movie,The Golden Child,Michael Ritchie,United States,2021-09-01,1986,PG-13,94 min,"Action & Adventure, Comedies",2021,9,1,94
Movie,The Guns of Navarone,J. Lee Thompson,United Kingdom,2021-09-01,1961,TV-14,156 min,"Action & Adventure, Classic Movies",2021,9,1,156
Movie,The Interview,"Evan Goldberg, Seth Rogen",United States,2021-09-01,2014,R,112 min,"Action & Adventure, Comedies",2021,9,1,112
Movie,The Nutty Professor,Tom Shadyac,United States,2021-09-01,1996,PG-13,95 min,"Comedies, Romantic Movies",2021,9,1,95
Movie,The Nutty Professor II: The Klumps,Peter Segal,United States,2021-09-01,2000,PG-13,107 min,"Comedies, Romantic Movies",2021,9,1,107
Movie,Welcome Home Roscoe Jenkins,Malcolm D. Lee,United States,2021-09-01,2008,PG-13,114 min,Comedies,2021,9,1,114
Movie,In the Line of Fire,Wolfgang Petersen,United States,2021-08-31,1993,R,129 min,"Action & Adventure, Classic Movies",2021,8,31,129
Movie,Untold: Crime & Penalties,"Chapman Way, Maclain Way",United States,2021-08-31,2021,TV-MA,86 min,"Documentaries, Sports Movies",2021,8,31,86
Movie,2 Alone in Paris,"Ramzy Bedia, Éric Judor",France,2021-08-28,2008,TV-MA,97 min,"Comedies, International Movies",2021,8,28,97
Movie,Thimmarusu,Sharan Koppisetty,India,2021-08-28,2021,TV-14,125 min,"Dramas, International Movies",2021,8,28,125
Movie,Wind River,Taylor Sheridan,United Kingdom,2021-08-28,2017,R,107 min,"Dramas, Independent Movies",2021,8,28,107
Movie,C Kkompany,Sachin Yardi,India,2021-08-27,2008,TV-14,127 min,"Action & Adventure, Comedies, International Movies",2021,8,27,127
Movie,He's All That,Mark Waters,United States,2021-08-27,2021,TV-14,92 min,"Comedies, Romantic Movies",2021,8,27,92
Movie,EMI: Liya Hai To Chukana Padega,Saurabh Kabra,India,2021-08-27,2008,TV-14,128 min,"Comedies, Dramas, International Movies",2021,8,27,128
TV Show,King of Boys: The Return of the King,Kemi Adetiba,Nigeria,2021-08-27,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",2021,8,27,1
Movie,Koi Aap Sa,Partho Mitra,India,2021-08-27,2006,TV-14,135 min,"Comedies, Dramas, International Movies",2021,8,27,135
Movie,Krishna Cottage,Santram Varma,India,2021-08-27,2004,TV-14,124 min,"Action & Adventure, Horror Movies, International Movies",2021,8,27,124
Movie,Kucch To Hai,"Anil V. Kumar, Anurag Basu",India,2021-08-27,2003,TV-14,136 min,"Dramas, International Movies, Thrillers",2021,8,27,136
Movie,Kyaa Kool Hai Hum,Sangeeth Sivan,India,2021-08-27,2005,TV-MA,165 min,"Comedies, International Movies, Music & Musicals",2021,8,27,165
Movie,Kyaa Kool Hain Hum 3,Umesh Ghadge,India,2021-08-27,2016,TV-MA,124 min,"Comedies, International Movies",2021,8,27,124
Movie,Kyaa Super Kool Hain Hum,Sachin Yardi,India,2021-08-27,2012,TV-MA,136 min,"Comedies, International Movies",2021,8,27,136
Movie,Kyo Kii... Main Jhuth Nahin Bolta,David Dhawan,India,2021-08-27,2001,TV-14,150 min,"Comedies, International Movies, Sci-Fi & Fantasy",2021,8,27,150
Movie,"LSD: Love, Sex Aur Dhokha",Dibakar Banerjee,India,2021-08-27,2010,TV-MA,112 min,"Dramas, Independent Movies, International Movies",2021,8,27,112
Movie,Mission Istaanbul: Darr Ke Aagey Jeet Hai,Apoorva Lakhia,India,2021-08-27,2008,TV-14,119 min,"Action & Adventure, International Movies, Music & Musicals",2021,8,27,119
Movie,Once Upon a Time in Mumbaai,Milan Luthria,India,2021-08-27,2010,TV-14,133 min,"Dramas, International Movies, Music & Musicals",2021,8,27,133
Movie,Once Upon a Time in Mumbai Dobaara!,Milan Luthria,India,2021-08-27,2013,TV-14,142 min,"Dramas, International Movies, Music & Musicals",2021,8,27,142
Movie,Ragini MMS,Pawan Kripalani,India,2021-08-27,2011,TV-MA,93 min,"Horror Movies, International Movies",2021,8,27,93
Movie,Ragini MMS 2,Bhushan Patel,India,2021-08-27,2014,TV-MA,113 min,"Horror Movies, International Movies",2021,8,27,113
TV Show,Clickbait,Brad Anderson,United States,2021-08-25,2021,TV-MA,1 Season,"Crime TV Shows, TV Dramas, TV Mysteries",2021,8,25,1
Movie,Shootout at Lokhandwala,Apoorva Lakhia,India,2021-08-27,2007,TV-MA,116 min,"Action & Adventure, Dramas, International Movies",2021,8,27,116
Movie,Shor In the City,"Raj Nidimoru, Krishna D.K.",India,2021-08-27,2011,TV-14,106 min,"Comedies, Dramas, Independent Movies",2021,8,27,106
Movie,The Dirty Picture,Milan Luthria,India,2021-08-27,2011,TV-14,145 min,"Comedies, Dramas, International Movies",2021,8,27,145
Movie,Really Love,Angel Kristi Williams,United States,2021-08-25,2020,TV-MA,95 min,"Dramas, Independent Movies, Romantic Movies",2021,8,25,95
Movie,The November Man,Roger Donaldson,United States,2021-08-25,2014,R,108 min,Action & Adventure,2021,8,25,108
Movie,The Old Ways,Christopher Alender,United States,2021-08-25,2020,TV-MA,90 min,Horror Movies,2021,8,25,90
Movie,The Water Man,David Oyelowo,United States,2021-08-25,2021,PG,92 min,"Children & Family Movies, Dramas",2021,8,25,92
Movie,Count Me In,Mark Lo,United Kingdom,2021-08-24,2021,TV-MA,82 min,"Documentaries, Music & Musicals",2021,8,24,82
Movie,Unroyal,Moses Inwang,Nigeria,2021-08-15,2020,TV-MA,97 min,"Dramas, International Movies",2021,8,15,97
Movie,Sweet Girl,Brian Andrew Mendoza,United States,2021-08-20,2021,R,110 min,"Action & Adventure, Dramas",2021,8,20,110
Movie,Like Crazy,Drake Doremus,United States,2021-08-19,2011,PG-13,91 min,"Dramas, Independent Movies, Romantic Movies",2021,8,19,91
Movie,Bombay,Mani Ratnam,India,2021-08-18,1995,TV-14,135 min,"Dramas, International Movies, Romantic Movies",2021,8,18,135
Movie,Pahuna,Paakhi Tyrewala,India,2021-08-18,2018,TV-PG,82 min,"Comedies, Dramas, International Movies",2021,8,18,82
Movie,O Kadhal Kanmani,Mani Ratnam,India,2021-08-18,2015,TV-14,133 min,"Dramas, International Movies, Romantic Movies",2021,8,18,133
Movie,The Secret Diary of an Exchange Student,Bruno Garotti,Brazil,2021-08-18,2021,TV-14,97 min,"Comedies, International Movies, Romantic Movies",2021,8,18,97
Movie,Walk of Shame,Steve Brill,United States,2021-08-16,2014,R,94 min,"Comedies, Independent Movies",2021,8,16,94
Movie,Untold: Deal With the Devil,Laura Brownson,United States,2021-08-18,2021,TV-MA,78 min,"Documentaries, LGBTQ Movies, Sports Movies",2021,8,18,78
Movie,The Piano,Jane Campion,New Zealand,2021-08-15,1993,R,121 min,"Classic Movies, Dramas, Independent Movies",2021,8,15,121
Movie,Lift Like a Girl,Mayye Zayed,Egypt,2021-07-15,2021,TV-PG,93 min,"Documentaries, International Movies, Sports Movies",2021,7,15,93
Movie,Beckett,Ferdinando Cito Filomarino,Italy,2021-08-13,2021,TV-MA,110 min,Action & Adventure,2021,8,13,110
TV Show,Gone for Good,Juan Carlos Medina,France,2021-08-13,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",2021,8,13,1
TV Show,Valeria,Inma Torrente,Spain,2021-08-13,2021,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",2021,8,13,2
Movie,Lokillo: Nothing's the Same,Julián Gaviria,Colombia,2021-08-12,2021,TV-MA,64 min,Stand-Up Comedy,2021,8,12,64
Movie,Monster Hunter: Legends of the Guild,Steven Yamamoto,United States,2021-08-12,2021,TV-PG,59 min,"Action & Adventure, Anime Features, Children & Family Movies",2021,8,12,59
Movie,Brother Jekwu,Charles Uwagbai,Nigeria,2021-08-11,2016,TV-14,101 min,"Comedies, International Movies",2021,8,11,101
Movie,La diosa del asfalto,Julián Hernández,Mexico,2021-08-11,2020,TV-MA,127 min,"Dramas, Independent Movies, International Movies",2021,8,11,127
Movie,Misha and the Wolves,Sam Hobkinson,Belgium,2021-08-11,2021,PG-13,90 min,"Documentaries, International Movies",2021,8,11,90
Movie,The Kissing Booth 3,Vince Marcello,United Kingdom,2021-08-11,2021,TV-14,114 min,"Comedies, Romantic Movies",2021,8,11,114
Movie,The Railway Man,Jonathan Teplitzky,Switzerland,2021-08-11,2013,R,108 min,"Dramas, International Movies",2021,8,11,108
Movie,Untold: Malice at the Palace,Floyd Russ,United States,2021-08-10,2021,TV-MA,70 min,"Documentaries, Sports Movies",2021,8,10,70
Movie,Quartet,Dustin Hoffman,United Kingdom,2021-08-08,2012,PG-13,98 min,"Comedies, Dramas, Independent Movies",2021,8,8,98
Movie,Slay,Adze Ugah,South Africa,2021-08-08,2021,TV-MA,86 min,"Comedies, International Movies, Romantic Movies",2021,8,8,86
Movie,The Paper Tigers,Quoc Bao Tran,United States,2021-08-07,2021,PG-13,111 min,"Action & Adventure, Comedies",2021,8,7,111
TV Show,Navarasa,"Bejoy Nambiar, Priyadarshan, Karthik Narain, Vasanth Sai, Karthik Subbaraj, Arvind Swamy, Rathindran R Prasad, Sarjun, Gautham Vasudev Menon",India,2021-08-06,2021,TV-MA,1 Season,TV Shows,2021,8,6,1
Movie,Quam's Money,Kayode Kasum,Nigeria,2021-08-06,2020,TV-MA,115 min,"Comedies, Dramas, International Movies",2021,8,6,115
Movie,The Swarm,Just Philippot,France,2021-08-06,2021,TV-14,102 min,"Horror Movies, Independent Movies, International Movies",2021,8,6,102
Movie,Vivo,"Kirk DeMicco, Brandon Jeffords",Canada,2021-08-06,2021,PG,100 min,"Children & Family Movies, Music & Musicals",2021,8,6,100
Movie,Chennai Express,Rohit Shetty,India,2021-08-05,2013,TV-14,135 min,"Action & Adventure, Comedies, International Movies",2021,8,5,135
Movie,City of God: 10 Years Later,"Cavi Borges, Luciano Vidigal",Brazil,2021-08-05,2013,TV-MA,69 min,"Documentaries, International Movies",2021,8,5,69
Movie,Esperando la carroza,Alejandro Doria,Argentina,2021-08-05,1985,TV-MA,95 min,"Comedies, Cult Movies, International Movies",2021,8,5,95
Movie,Lady Boss: The Jackie Collins Story,Laura Fairrie,United Kingdom,2021-08-05,2021,TV-14,97 min,Documentaries,2021,8,5,97
Movie,Tango Feroz,Marcelo Piñeyro,Argentina,2021-08-05,1993,TV-MA,124 min,"Classic Movies, Dramas, International Movies",2021,8,5,124
Movie,'76,Izu Ojukwu,Nigeria,2021-08-04,2016,TV-PG,118 min,"Dramas, International Movies",2021,8,4,118
Movie,Aftermath,Peter Winther,United States,2021-08-04,2021,TV-MA,115 min,Horror Movies,2021,8,4,115
Movie,American Masters: Inventing David Geffen,Susan Lacy,United States,2021-08-04,2012,TV-MA,115 min,Movies,2021,8,4,115
TV Show,Cocaine Cowboys: The Kings of Miami,Billy Corben,United States,2021-08-04,2021,TV-MA,1 Season,"Crime TV Shows, Docuseries",2021,8,4,1
Movie,Heavy,James Mangold,United States,2021-08-03,1995,R,104 min,"Dramas, Independent Movies, Romantic Movies",2021,8,3,104
Movie,Ije: The Journey,Chineze Anyaene,United States,2021-08-03,2010,TV-MA,106 min,"Dramas, International Movies",2021,8,3,106
TV Show,Office Girls,Hsu Fu-chun,Taiwan,2021-08-03,2011,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",2021,8,3,1
Movie,Pray Away,Kristine Stolakis,United States,2021-08-03,2021,PG-13,102 min,"Documentaries, LGBTQ Movies",2021,8,3,102
Movie,Beethoven,Brian Levant,United States,2021-08-01,1992,PG,87 min,"Children & Family Movies, Comedies",2021,8,1,87
Movie,Beethoven's 2nd,Rod Daniel,United States,2021-08-01,1993,PG,88 min,"Children & Family Movies, Comedies",2021,8,1,88
Movie,Beowulf,Robert Zemeckis,United States,2021-08-01,2007,PG-13,114 min,"Action & Adventure, Sci-Fi & Fantasy",2021,8,1,114
